id_perfil;edad;etnia;estado_civil;clase_social;religion;general_lifestyle;partido_politico;Auto_descripcion
2BXJS3CVCS3ZKENV4J7FO2HEWM;18-24 years old ; No identificable ; Single, never married ; No identificable ; No identificable ; Other ; No identificable ;# Amicable, amiable, affable, benevolent # Broad-minded, open-minded, liberal, tolerant #
4D4WVSDJVRAJ6GE4QH7JBB4VSY;18-24 years old ; No identificable ; No identificable ; No identificable ; No religion identity ; Activism ; No identificable ;# Frank, straightforward, outspoken, candid # Stubborn, hard-headed, headstrong, obstinate #
4IF7S4DFR6PVXVDJSSAKK32R3E;No identificable ; No identificable ; No identificable ; No identificable ; No identificable ; No identificable ; No identificable ;# Amicable, amiable, affable, benevolent # Efficient, organized, diligent, thorough # Intelligent, smart, bright, well-informed # Trustworthy, competent, reliable, responsible #
4OIPRKLJLBLCRD253G7EZ6JP74;75 years or older ; No identificable ; Widowed ; No identificable ; Catholic ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Broad-minded, open-minded, liberal, tolerant # Intelligent, smart, bright, well-informed # Kind, good-hearted, warm-hearted, sincere # Trustworthy, competent, reliable, responsible #
4QOV42RNL42YCO6VIUPEV2X6OQ;18-24 years old ; Hispanic or Latino ; No identificable ; No identificable ; No identificable ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Broad-minded, open-minded, liberal, tolerant # Intelligent, smart, bright, well-informed #
4RDOYO5ONNMSSQQOJDVRMTJMDI;12-17 years old ; White ; No identificable ; No identificable ; No identificable ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Funny, humorous, amusing, witty # Sociable, friendly, cheerful, likeable #
54FEAMFIKHANY42Z4FJZD25TBI;55-64 years old ; No identificable ; No identificable ; No identificable ; Catholic ; Asceticism ; No identificable ;# Amicable, amiable, affable, benevolent # Broad-minded, open-minded, liberal, tolerant # Creative, inventive, imaginative, artistic # Kind, good-hearted, warm-hearted, sincere # Self-assured, confident, self-sufficient, secure #
56MJ23G66CPPCKDD5COH3TBOEA;12-17 years old ; White ; No identificable ; No identificable ; No religion identity ; Traditional lifestyle ; Other ;# Awkward, absent-minded, forgetful, careless # Frank, straightforward, outspoken, candid # Stubborn, hard-headed, headstrong, obstinate #
5ZESCZ6QG5RCLJRSQ7TP7Z4LWE;18-24 years old ; No identificable ; No identificable ; No identificable ; No identificable ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Broad-minded, open-minded, liberal, tolerant # Creative, inventive, imaginative, artistic # Kind, good-hearted, warm-hearted, sincere # Self-assured, confident, self-sufficient, secure # Sociable, friendly, cheerful, likeable # Trustworthy, competent, reliable, responsible #
6IGE4G65MI2KGVEIMTPFBCW46I;18-24 years old ; Hispanic or Latino ; No identificable ; No identificable ; No religion identity ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Creative, inventive, imaginative, artistic # Funny, humorous, amusing, witty # Intelligent, smart, bright, well-informed #
6N6AEDYCVH6T43BFEDYXASWCLA;12-17 years old ; Hispanic or Latino ; Single, never married ; No identificable ; No identificable ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Brave, courageous, daring, adventuresome # Creative, inventive, imaginative, artistic # Sociable, friendly, cheerful, likeable #
73AHS4BFS6MJQICTTFEIB7HF4M;12-17 years old ; White ; Single, never married ; No identificable ; Protestant/Other Christian ; Traditional lifestyle ; No identificable ;# Amicable, amiable, affable, benevolent # Awkward, absent-minded, forgetful, careless #
7KBTV2H3ARAFSN3NXJFOQKYCRY;12-17 years old ; Asian / Pacific Islander ; No identificable ; No identificable ; No identificable ; Traditional lifestyle ; No identificable ;# Reserved, conservative, quiet, conventional #
7PDIKRY7ESDCQ3DE2QMHE5UTMY;No identificable ; White ; Married or domestic partnership ; No identificable ; Catholic ; Traditional lifestyle ; No identificable ;# Frank, straightforward, outspoken, candid # Tense, nervous, high-strung, excitable #
A6CJ2QDTV4FFZZL66QRTW3VQ2M;12-17 years old ; No identificable ; Single, never married ; BOTTOM-UPPERS ; Catholic ; Traditional lifestyle ; No identificable ;# Frank, straightforward, outspoken, candid # Intelligent, smart, bright, well-informed # Reserved, conservative, quiet, conventional # Sociable, friendly, cheerful, likeable # Tense, nervous, high-strung, excitable #
