Canada;8
Mississippi;1
Paris;1
Wyoming;1
Minnesota;1
Illinois;2
Middle East;1
Baumholder;1
Sao Paulo;1
Louisiana;2
Texas;7
Abu Dhabi;1
Kansas;1
Connecticut;3
Bengali;1
New Hampshire;2
Mayaguez;1
Tampa;3
Los Angeles;4
Miami;3
Scotland;1
Dublin;1
Alaska;3
Stambul;1
Missouri;2
New Zealand;1
New York;15
Delhi;3
Alexandria;1
England;2
Casablanca;1
New Jersey;2
North California;1
Washington;2
London;2
Seattle;1
Windsor;1
Turkey;2
Caribbean;1
Bangladesh;1
India;6
Denver;1
France;1
Old Town;1
Indiana;4
Kolkata;2
Maryland;1
Arizona;3
Iowa;2
Korea;2
Singapore;1
Michigan;1
Montana;1
China;2
Massachusetts;1
Honolulu;1
Manchester;1
Dominican Republic;3
Ukraine;1
Himalayas;1
Florida;5
Rhode Island;1
USSR;1
Ohio;1
Russia;2
Penicuik;1
Romania;1
US;18
Las Vegas;2
UK;3
Japan;2
Maine;4
Brazil;2
Norwalk;1
Ontario;2
Oklahoma;2
Delaware;1
Tobago;1
Pasadena;1
Arkansas;1
New Mexico;3
Ireland;1
Ecuador;1
Europe;1
Columbus;1
Australia;3
Iran;1
El Salvador;1
New England;2
California;11
Puerto Rico;3
Thailand;1
Iraq;3
Toronto;1
Georgia;3
North Dakota;1
Pennsylvania;2
Philippines;2
Ottawa;1
Switzerland;1
South Dakota;1
Austin;1
Muskogee;1
Irish;1
Colorado;3
Uruguay;1
Africa;3
New Orleans;1
Colombia;1
Nevada;1
Barbados;1
Italy;6
Chicago;5
Laos;1
Pensacola;1
Galway;1
North Carolina;2
Venezuela;1
Manhattan;1
Idaho;1
Quantico;1
Kyoto;1
Utah;1
Virginia;6
Okinawa;1
Germany;4
South Carolina;1
Vermont;1
Omaha;1
Hawaii;4
Kentucky;1
Melbourne;1
Nebraska;1
Wisconsin;1
Alabama;1
Mexico;9
Egypt;1
Prague;1
Southeast Asia;1
Tennessee;2
Greece;2
Portland;1
Philly;1
Moscow;1
